text,index
"['fda', 'author', 'new', 'rapid', 'test', 'say', 'capac', 'doubl', 'smartnew']",179
"['case', 'havent', 'notic', 'vaccin', 'spread', 'much']",180
"['must', 'watch', 'video', 'seriou', 'leftist', 'democrat', 'fauci', 'want', 'think']",181
"['india', 'report', 'new', 'case', 'last', 'hour', 'lowest', 'day', 'activ', 'caseload', 'stand']",182
"['third', 'systemat', 'review', 'equival', 'protect', 'natur', 'immun', 'recov', 'versu', 'fulli', 'vaccina']",183
"['latest', 'twitter', 'time', 'tokyo']",184
"['real', 'nwo', 'plandem', 'billgatesbioterrorist', 'fauciforprison', 'fauciliedpeopledi']",185
"['cancer', 'patient', 'chemotherapi', 'like', 'fulli', 'protect', 'vaccin', 'studi', 'find', 'starse']",186
"['india', 'record', 'case', 'last', 'hr', 'lowest', 'day']",187
"['vaccin', 'teacher', 'commun', 'educ', 'committe', 'school', 'support', 'staff', 'launch', 'yesterday']",188
"['exactli', 'hospit', 'struggl', 'weight', 'new', 'case', 'case', 'flat', 'la']",189
"['orangecounti', 'hospit', 'remain', 'unchang', 'accord', 'latest', 'data', 'day', 'declin']",190
"['updat', 'exclus', 'summari', 'vaccin', 'concern']",191
"['time', 'run', 'minnesota', 'school', 'appli', 'money', 'help', 'test', 'kid']",192
"['dear', 'finish', 'second', 'dose', 'vaccin', 'alreadi', 'wait', 'cousin', 'im', 'supp']",193
"['australia', 'buy', 'merck', 'pill', 'victoria', 'case', 'hit', 'record']",194
"['queensland', 'call', 'hospit', 'fund', 'boost', 'readi', 'reject', 'commonwealth']",195
"['total', 'lost', 'test', 'contamin', 'hasnt', 'even', 'isol', 'test', 'check']",196
['fuck'],197
"['day', 'u', 'death', 'counti', 'wa', 'visual', 'give', 'insight', 'thank', 'ou']",198
"['nl', 'hospit', 'tick', 'secondhighest', 'total', 'sinc', 'start']",199
"['year', 'post', 'initi', 'lost', 'sen', 'smell', 'return', 'month', 'ago', 'everyth']",200
"['must', 'elimin', 'becom', 'endem', 'america', 'surviv']",201
"['nation', 'debt', 'china', 'forgiven', 'lab', 'leak', 'china', 'got', 'away']",202
"['doubl', 'vaccin', 'emmi', 'winner', 'die', 'two', 'week', 'attend', 'award', 'ceremoni', 'unmask', 'celebr']",203
"['nz', 'pm', 'announc', 'vaccin', 'certif', 'nzpol', 'fail']",204
"['time', 'run', 'minnesota', 'school', 'appli', 'money', 'help', 'test', 'kid']",205
"['well', 'there', 'third', 'option', 'possibl', 'catch', 'die', 'slow', 'miser', 'death', 'wo', 'love']",206
"['infopacha', 'news']",207
